created_at,Place,text,lang
2018-03-18 15:41:04,,b'\xf0\x9f\xa4\xb0 A doctor explains why you can get pregnant and give birth without having a baby bump. \n\xf0\x9f\x91\x89 https://t.co/nVrSpQoTOT https://t.co/iEEOjZdBKL',en
2018-03-18 14:33:07,,b'RT @BBCEngland: A number of runners have held their own half-marathon in Reading after the official event was called off due to the snowy w\xe2\x80\xa6',en
2018-03-18 14:28:23,,b'RT @BBCSport: They\xe2\x80\x99ve done it! Gold for GB\xe2\x80\x99s Menna Fitzpatrick and Jen Kehoe in the visually impaired slalom at the Winter Paralympics. And\xe2\x80\xa6',en
2018-03-18 14:18:01,,b'\xf0\x9f\x93\xb1\xf0\x9f\x9a\x97 Why a rise in electric cars could also mean a hike in the cost of your next phone. https://t.co/6i5xFQgRIW',en
2018-03-18 14:08:37,,b'RT @BBC6Music: \xe2\x9c\x8f\xef\xb8\x8f Which song has the greatest opening line?',en
2018-03-18 13:45:03,,b'\xf0\x9f\x8e\xa4Pop music is awash with those that released one hit album and never followed it up. Here are 7 huge artists that o\xe2\x80\xa6 https://t.co/4ukT9drcdG',en
2018-03-18 13:00:08,,b'\xf0\x9f\x8d\x94\xf0\x9f\x98\xb2 Would you eat a burger pie?  \n#BackInTimeForTea https://t.co/zGWzJwdSlM',en
2018-03-18 12:29:50,,b'RT @BBCOne: If food is the language of love... https://t.co/5hnYovE94o',en
2018-03-18 11:43:04,,b'Ever wondered why David Bowie wore an eye patch?\n\nStrange things artists have worn on stage and the reasons why. \n\xf0\x9f\x91\x89\xe2\x80\xa6 https://t.co/8zSBXQkLvy',en
2018-03-18 10:30:04,,b'\xf0\x9f\x8d\x9e\xf0\x9f\xa5\x96 Want to learn how to bake bread?\n\nThese easy to follow recipes and step-by-step videos will have you baking ever\xe2\x80\xa6 https://t.co/iXEmj5WJdD',en
2018-03-18 10:00:08,,"b'\xe2\x80\x9cI regret spending \xc2\xa350,000 on my wedding.\xe2\x80\x9d https://t.co/6PxJsDf9dn https://t.co/eJdx7KMmmK'",en
2018-03-18 09:30:03,,"b'How to be 20 on the inside, even when you\xe2\x80\x99re 80 on the outside... https://t.co/KB2mqpkrIB'",en
2018-03-18 09:19:33,,"b""RT @BBCNews: Snow and ice are bringing disruption to many parts of the UK - but they're not stopping everyone from having fun \xf0\x9f\x90\xb6\xe2\x9d\x84\xef\xb8\x8f\n\nhttps://\xe2\x80\xa6""",en
